Event	ID	Name			Wwise Object Path	Notes
	180661997	Attack			\Default Work Unit\Attack	
	612075679	Checkpoint			\Default Work Unit\Checkpoint	
	1866025847	footStep			\Default Work Unit\footStep	
	2118900976	UI_hover			\Default Work Unit\UI_hover	
	2498411518	footLand			\Default Work Unit\footLand	
	2774129122	UI_select			\Default Work Unit\UI_select	
	3071493210	inTheBeginning			\Default Work Unit\inTheBeginning	

Switch Group	ID	Name			Wwise Object Path	Notes
	226124245	Music_Switches			\Default Work Unit\Music_Switches	
	1110811498	FootStep_Switches			\Default Work Unit\FootStep_Switches	

Switch	ID	Name	Switch Group			Notes
	321571300	Forrest_1	Music_Switches			
	321571303	Forrest_2	Music_Switches			
	1868129168	Village_2	Music_Switches			
	1868129171	Village_1	Music_Switches			
	2607556080	Menu	Music_Switches			
	1216965916	Stone	FootStep_Switches			
	2195636714	Dirt	FootStep_Switches			
	4248645337	Grass	FootStep_Switches			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	342657200	Village_Level_Draft 4	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\Village_Level_Draft 4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\META_Switch\Village_Playlist\Village_Level_Draft 4\Village_Level_Draft 4		18585792
	350638146	Attack2	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\Attack2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\bladeAttack\Attack2		61340
	365631348	Bamboo_Stage_Demo_132bpm	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\Bamboo_Stage_Demo_132bpm_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\META_Switch\Bamboo_Playlist\Bamboo_Stage_Demo_132bpm\Bamboo_Stage_Demo_132bpm		7696960
	427821848	player_footsteps_dirt_1	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_footsteps_dirt_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\dirtSteps\player_footsteps_dirt_1		86080
	437168310	player_landing_dirt_3	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_landing_dirt_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footLand_Switch\dirtLand\player_landing_dirt_3		79296
	474746038	Step_Grass_3	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\Step_Grass_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\grassSteps\Step_Grass_3		36748
	495037492	player_footsteps_stone_01	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_footsteps_stone_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\stoneStep\player_footsteps_stone_01		94596
	550483470	player_landing_dirt_2	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_landing_dirt_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footLand_Switch\dirtLand\player_landing_dirt_2		100160
	559824723	player_landing_dirt_4	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_landing_dirt_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footLand_Switch\dirtLand\player_landing_dirt_4		96704
	560260347	player_landing_dirt_1	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_landing_dirt_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footLand_Switch\dirtLand\player_landing_dirt_1		121920
	587515936	player_footsteps_stone_03	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_footsteps_stone_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\stoneStep\player_footsteps_stone_03		92708
	724026448	Step_Grass_4	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\Step_Grass_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\grassSteps\Step_Grass_4		37692
	804659363	player_footsteps_dirt_6	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_footsteps_dirt_6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\dirtSteps\player_footsteps_dirt_6		135232
	806889390	Step_Grass_8	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\Step_Grass_8_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\grassSteps\Step_Grass_8		35724
	850441153	player_footsteps_dirt_2	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_footsteps_dirt_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\dirtSteps\player_footsteps_dirt_2		89664
	860171682	Step_Grass_6	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\Step_Grass_6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\grassSteps\Step_Grass_6		37420
	947976714	Menu	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\Menu_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\META_Switch\Menu_Playlist\Menu\Menu		8270960
	976594680	player_footsteps_dirt_5	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_footsteps_dirt_5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\dirtSteps\player_footsteps_dirt_5		83008
	994380550	player_footsteps_dirt_3	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_footsteps_dirt_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\dirtSteps\player_footsteps_dirt_3		86464
	1010876088	player_landing_dirt_5	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_landing_dirt_5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footLand_Switch\dirtLand\player_landing_dirt_5		98368
	1051710066	checkpoint_2	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\checkpoint_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\checkpoint_2		1152192
	1061781004	UI_select	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\UI_select_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI_select		454720
	1067948419	player_footsteps_dirt_4	Z:\Volumes\EOR\SCHOOL\_Games_DirectedStudy\Jade-Runner\Jade_Runner_Unity_Official\Wwise Integrated Audio\Jade_Runner_Audio\.cache\Windows\SFX\player_footsteps_dirt_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\footStep_Switch\dirtSteps\player_footsteps_dirt_4		89152

